,0
0,0.8533
1,0.85395
2,0.85427
3,0.85469
4,0.85503
5,0.85529
6,0.85553
7,0.85579
8,0.85611
9,0.85635
10,0.85671
11,0.85707
12,0.85732
13,0.85776
14,0.85827
15,0.85859
16,0.85899
