,0
0,1.38603
1,1.38766
2,1.38818
3,1.38863
4,1.38923
5,1.39011
6,1.39065
7,1.3913
8,1.39189
9,1.3924
10,1.39322
11,1.39371
12,1.39455
13,1.39526
14,1.39584
15,1.39637
16,1.39691
17,1.39739
18,1.39801
19,1.39875
20,1.39921
