,0
0,1.18821
1,1.18913
2,1.18957
3,1.18988
4,1.19037
5,1.19087
6,1.19119
7,1.19169
8,1.19206
9,1.19246
10,1.19283
11,1.19317
12,1.19371
13,1.19425
14,1.19457
15,1.19508
16,1.19567
