,from,open,close,min,max,volume
109,1624316400,0.85528,0.85517,0.85517,0.85533,90
110,1624316700,0.85517,0.85518,0.85511,0.85521,77
111,1624317000,0.85519,0.85523,0.85518,0.85525,58
112,1624317300,0.85523,0.85527,0.85521,0.85533,73
113,1624317600,0.85527,0.85539,0.85525,0.85541,60
114,1624317900,0.85539,0.85543,0.85535,0.85546,55
115,1624318200,0.85545,0.85553,0.85542,0.85559,91
116,1624318500,0.85553,0.85543,0.8554,0.85553,53
117,1624318800,0.85543,0.8555,0.85543,0.85552,29
118,1624319100,0.8555,0.85551,0.85545,0.85556,45
119,1624319400,0.85551,0.85547,0.85543,0.85551,21
120,1624319700,0.85547,0.85547,0.85542,0.85551,75
121,1624320000,0.85549,0.85547,0.85543,0.85555,152
122,1624320300,0.85547,0.85563,0.8554,0.85563,69
123,1624320600,0.85563,0.8556,0.85551,0.85569,87
124,1624320900,0.85561,0.85574,0.85561,0.85577,55
125,1624321200,0.85573,0.85574,0.85565,0.85574,99
126,1624321500,0.85573,0.85581,0.85569,0.85583,148
127,1624321800,0.85581,0.85583,0.85579,0.85589,79
128,1624322100,0.85583,0.85587,0.85577,0.85587,42
129,1624322400,0.85587,0.85591,0.85585,0.85601,156
130,1624322700,0.85591,0.856,0.85587,0.85601,202
131,1624323000,0.85599,0.85597,0.85593,0.85607,197
132,1624323300,0.85597,0.85589,0.85586,0.85597,113
133,1624323600,0.85588,0.85594,0.85579,0.85598,241
134,1624323900,0.85594,0.85589,0.85581,0.85596,109
135,1624324200,0.85589,0.85599,0.85581,0.85599,118
136,1624324500,0.85599,0.85612,0.85599,0.85612,102
137,1624324800,0.85612,0.85612,0.85602,0.85617,87
138,1624325100,0.85612,0.85619,0.85605,0.85619,132
139,1624325400,0.85617,0.85619,0.85605,0.85622,148
140,1624325700,0.85619,0.85607,0.85607,0.85622,133
141,1624326000,0.85607,0.8561,0.85603,0.85623,196
142,1624326300,0.8561,0.85617,0.85605,0.85617,165
143,1624326600,0.85617,0.85605,0.85605,0.85623,174
144,1624326900,0.85604,0.85601,0.856,0.85611,87
145,1624327200,0.856,0.85604,0.85587,0.85604,128
146,1624327500,0.85604,0.85597,0.85592,0.85605,119
147,1624327800,0.85597,0.85584,0.85584,0.85598,120
148,1624328100,0.85584,0.85579,0.85578,0.85591,87
149,1624328400,0.85579,0.85579,0.85574,0.85583,90
150,1624328700,0.85579,0.85569,0.85567,0.85583,121
151,1624329000,0.85568,0.85552,0.85551,0.85577,258
152,1624329300,0.85552,0.85555,0.85541,0.85555,104
153,1624329600,0.85555,0.85573,0.85555,0.85575,109
154,1624329900,0.85573,0.85557,0.85555,0.85575,120
155,1624330200,0.85557,0.85564,0.85556,0.85565,58
156,1624330500,0.85564,0.85595,0.85561,0.85595,206
157,1624330800,0.85595,0.85591,0.85588,0.85595,117
158,1624331100,0.85591,0.85585,0.85579,0.85591,33
159,1624331400,0.85585,0.85583,0.85583,0.85589,58
160,1624331700,0.85581,0.85595,0.85579,0.85595,135
161,1624332000,0.85595,0.85585,0.85582,0.85595,100
162,1624332300,0.85585,0.85591,0.85585,0.85597,117
163,1624332600,0.85592,0.85588,0.85585,0.85593,87
164,1624332900,0.85588,0.85593,0.85583,0.85595,68
165,1624333200,0.85592,0.85596,0.85589,0.85598,102
166,1624333500,0.85595,0.85596,0.85591,0.85599,141
167,1624333800,0.85596,0.85603,0.85596,0.85605,82
168,1624334100,0.85603,0.85612,0.85603,0.85619,93
169,1624334400,0.85612,0.85609,0.85606,0.85615,84
170,1624334700,0.85609,0.85595,0.85595,0.85609,50
171,1624335000,0.85595,0.85593,0.85592,0.85597,20
172,1624335300,0.85593,0.85587,0.85586,0.85593,34
